,nom_editeur
1,10TACLE Studios
2,1C Company
3,20th Century Fox Video Games
4,2D Boy
5,3DO
6,49Games
7,505 Games
8,5pb
9,7G//AMES
10,989 Sports
11,989 Studios
12,AQ Interactive
13,ASC Games
14,ASCII Entertainment
15,ASCII Media Works
16,ASK
17,Abylight
18,Acclaim Entertainment
19,Accolade
20,Ackkstudios
21,Acquire
22,Activision
23,Activision Blizzard
24,Activision Value
25,Adeline Software
26,Aerosoft
27,Agatsuma Entertainment
28,Agetec
29,Aksys Games
30,Alawar Entertainment
31,Alchemist
32,Alternative Software
33,Altron
34,Alvion
35,American Softworks
36,Angel Studios
37,Answer Software
38,Aqua Plus
39,Aques
40,Arc System Works
41,Arena Entertainment
42,Aria
43,Arika
44,ArtDink
45,Aruze Corp
46,Ascaron Entertainment
47,Ascaron Entertainment GmbH
48,Asgard
49,Asmik Ace Entertainment
50,Asmik Corp
51,Aspyr
52,Astragon
53,Asylum Entertainment
54,Atari
55,Athena
56,Atlus
57,Avalon Interactive
58,Avanquest
59,Avanquest Software
60,Axela
61,BAM! Entertainment
62,BMG Interactive Entertainment
63,BPS
64,Banpresto
65,Benesse
66,Berkeley
67,Bethesda Softworks
68,Big Ben Interactive
69,Big Fish Games
70,Bigben Interactive
71,Black Bean Games
72,Black Label Games
73,Blast! Entertainment Ltd
74,Blue Byte
75,Bohemia Interactive
76,Bomb
77,Boost On
78,Brash Entertainment
79,Broccoli
80,BushiRoad
81,CBS Electronics
82,CCP
83,CDV Software Entertainment
84,CPG Products
85,CTO SpA
86,Capcom
87,Cave
88,ChunSoft
89,City Interactive
90,Cloud Imperium Games Corporation
91,Coconuts Japan
92,Codemasters
93,Codemasters Online
94,CokeM Interactive
95,Coleco
96,Comfort
97,Commseed
98,Compile
99,Compile Heart
100,Conspiracy Entertainment
101,Core Design Ltd.
102,Crave Entertainment
103,Creative Core
104,Crimson Cow
105,Crystal Dynamics
106,Culture Brain
107,Culture Publishers
108,CyberFront
109,Cygames
110,D3Publisher
111,DHM Interactive
112,DSI Games
113,DTP Entertainment
114,Daedalic
115,Daedalic Entertainment
116,Daito
117,Data Age
118,Data Design Interactive
119,Data East
120,Datam Polystar
121,Deep Silver
122,"Destination Software, Inc"
123,Destineer
124,Detn8 Games
125,Devolver Digital
126,DigiCube
127,Disney Interactive Studios
128,Dorart
129,DreamCatcher Interactive
130,DreamWorks Interactive
131,Dusenberry Martin Racing
132,EA Games
133,EON Digital Entertainment
134,ESP
135,Easy Interactive
136,Ecole
137,Edia
138,Eidos Interactive
139,Electronic Arts
140,Electronic Arts Victor
141,Elf
142,Elite
143,Empire Interactive
144,Encore
145,Enix Corporation
146,Enjoy Gaming ltd.
147,Enterbrain
148,Epic Games
149,Epoch
150,Ertain
151,Essential Games
152,Evolution Games
153,Evolved Games
154,Excalibur Publishing
155,Experience Inc.
156,Extreme Entertainment Group
157,Falcom Corporation
158,Fields
159,Flashpoint Games
160,Flight-Plan
161,Focus Home Interactive
162,Focus Multimedia
163,Foreign Media Games
164,Fortyfive
165,Fox Interactive
166,From Software
167,FuRyu
168,FuRyu Corporation
169,Fuji
170,FunSoft
171,Funbox Media
172,Funcom
173,Funsta
174,G.Rev
175,GN Software
176,GOA
177,GSP
178,GT Interactive
179,Gaga
180,Gainax Network Systems
181,Gakken
182,Game Arts
183,Game Factory
184,Game Life
185,GameMill Entertainment
186,GameTek
187,Gamebridge
188,Gamecock
189,Gameloft
190,Gathering of Developers
191,General Entertainment
192,Genki
193,Genterprise
194,Ghostlight
195,Giga
196,Giza10
197,Glams
198,Global A Entertainment
199,Global Star
200,Gotham Games
201,Graffiti
202,Grand Prix Games
203,Graphsim Entertainment
204,Gremlin Interactive Ltd
205,Griffin International
206,Groove Games
207,GungHo
208,Gust
209,HAL Laboratory
210,HMH Interactive
211,Hackberry
212,Hamster Corporation
213,Happinet
214,Harmonix Music Systems
215,Hasbro Interactive
216,Havas Interactive
217,Headup Games
218,Hearty Robin
219,Hect
220,Hello Games
221,Her Interactive
222,Hip Interactive
223,Home Entertainment Suppliers
224,Hudson Entertainment
225,Hudson Soft
226,Human Entertainment
227,HuneX
228,IE Institute
229,ITT Family Games
230,Iceberg Interactive
231,Idea Factory
232,Idea Factory International
233,Ignition Entertainment
234,Illusion Softworks
235,Imadio
236,Image Epoch
237,Imageworks
238,Imagic
239,Imagineer
240,Imax
241,Indie Games
242,Infogrames
243,Insomniac Games
244,Interchannel
245,Interchannel-Holon
246,Intergrow
247,Interplay
248,Interplay Productions
249,"Interworks Unlimited, Inc."
250,Inti Creates
251,Introversion Software
252,Irem Software Engineering
253,Ivolgamus
254,JVC
255,Jack of All Games
256,Jaleco
