,nom_jeu,na_vente_jeu,eu_vente_jeu,jp_vente_jeu,autre_vente_jeu,global_vente_jeu,id_calendrier,id_console,id_genre,id_editeur
1,Wii Sports,41.49,29.02,3.77,8.46,82.74,2006-01-01,27,11,360
2,Super Mario Bros.,29.08,3.58,6.81,0.77,40.24,1985-01-01,12,5,360
3,Mario Kart Wii,15.85,12.88,3.79,3.31,35.82,2008-01-01,27,7,360
4,Wii Sports Resort,15.75,11.01,3.28,2.96,33.0,2009-01-01,27,11,360
5,Pokemon Red/Pokemon Blue,11.27,8.89,10.22,1.0,31.37,1996-01-01,6,8,360
6,Tetris,23.2,2.26,4.22,0.58,30.26,1989-01-01,6,6,360
7,New Super Mario Bros.,11.38,9.23,6.5,2.9,30.01,2006-01-01,5,5,360
8,Wii Play,14.03,9.2,2.93,2.85,29.02,2006-01-01,27,4,360
9,New Super Mario Bros. Wii,14.59,7.06,4.7,2.26,28.62,2009-01-01,27,5,360
10,Duck Hunt,26.93,0.63,0.28,0.47,28.31,1984-01-01,12,9,360
11,Nintendogs,9.07,11.0,1.93,2.75,24.76,2005-01-01,5,10,360
12,Mario Kart DS,9.81,7.57,4.13,1.92,23.42,2005-01-01,5,7,360
13,Pokemon Gold/Pokemon Silver,9.0,6.18,7.2,0.71,23.1,1999-01-01,6,8,360
14,Wii Fit,8.94,8.03,3.6,2.15,22.72,2007-01-01,27,11,360
15,Wii Fit Plus,9.09,8.59,2.53,1.79,22.0,2009-01-01,27,11,360
16,Kinect Adventures!,14.97,4.94,0.24,1.67,21.82,2010-01-01,29,4,324
17,Grand Theft Auto V,7.01,9.27,0.97,4.14,21.4,2013-01-01,18,1,495
18,Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57,20.81,2004-01-01,17,1,495
19,Super Mario World,12.78,3.75,3.54,0.55,20.61,1990-01-01,24,5,360
20,Brain Age: Train Your Brain in Minutes a Day,4.75,9.26,4.16,2.05,20.22,2005-01-01,5,4,360
21,Pokemon Diamond/Pokemon Pearl,6.42,4.52,6.04,1.37,18.36,2006-01-01,5,8,360
22,Super Mario Land,10.83,2.71,4.18,0.42,18.14,1989-01-01,6,5,360
23,Super Mario Bros. 3,9.54,3.44,3.84,0.46,17.28,1988-01-01,12,5,360
24,Grand Theft Auto V,9.63,5.31,0.06,1.38,16.38,2013-01-01,29,1,495
25,Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78,16.15,2002-01-01,17,1,495
26,Pokemon Ruby/Pokemon Sapphire,6.06,3.9,5.38,0.5,15.85,2002-01-01,7,8,360
27,Pokemon Black/Pokemon White,5.57,3.28,5.65,0.82,15.32,2010-01-01,5,8,360
28,Brain Age 2: More Training in Minutes a Day,3.44,5.36,5.32,1.18,15.3,2005-01-01,5,6,360
29,Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16,14.98,2001-01-01,17,7,457
30,Call of Duty: Modern Warfare 3,9.03,4.28,0.13,1.32,14.76,2011-01-01,29,9,22
31,Pokémon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59,14.64,1998-01-01,6,8,360
32,Call of Duty: Black Ops,9.67,3.73,0.11,1.13,14.64,2010-01-01,29,9,22
33,Pokemon X/Pokemon Y,5.17,4.05,4.34,0.79,14.35,2013-01-01,3,8,360
34,Call of Duty: Black Ops 3,5.77,5.81,0.35,2.31,14.24,2015-01-01,19,9,22
35,Call of Duty: Black Ops II,4.99,5.88,0.65,2.52,14.03,2012-01-01,18,9,22
36,Call of Duty: Black Ops II,8.25,4.3,0.07,1.12,13.73,2012-01-01,29,9,22
37,Call of Duty: Modern Warfare 2,8.52,3.63,0.08,1.29,13.51,2009-01-01,29,9,22
38,Call of Duty: Modern Warfare 3,5.54,5.82,0.49,1.62,13.46,2011-01-01,18,9,22
